Product,Sales,Price,Quantity,Region,Date
A,1500,9.99,100,North,2025-01-01
B,2000,12.99,150,South,2025-01-02
C,1200,8.99,120,East,2025-01-03
A,1800,9.99,130,West,2025-01-04
B,2200,12.99,160,North,2025-01-05
C,1100,8.99,110,South,2025-01-06
A,1600,9.99,105,East,2025-01-07
B,2100,12.99,155,West,2025-01-08
C,1300,8.99,125,North,2025-01-09
A,1700,9.99,115,South,2025-01-10
B,2300,12.99,165,East,2025-01-11
C,1400,8.99,135,West,2025-01-12
A,1550,9.99,108,North,2025-01-13
B,2050,12.99,158,South,2025-01-14
C,1250,8.99,122,East,2025-01-15
A,1750,9.99,118,West,2025-01-16
B,2250,12.99,162,North,2025-01-17
C,1350,8.99,132,South,2025-01-18
A,1650,9.99,112,East,2025-01-19
B,2150,12.99,157,West,2025-01-20
C,1450,8.99,137,North,2025-01-21
A,1850,9.99,125,South,2025-01-22
B,2400,12.99,170,East,2025-01-23
C,1300,8.99,120,West,2025-01-24
A,1900,9.99,130,North,2025-01-25
